"","sub","item","cond","seq","Bnd_loc","tCross","tStarted","tCompleted","tChange","tActualChange","nextFlag","tNextFlag","tChangetoFixOnset","tChangetoFixOnset_VD"
"1",1,47,2,1,618,1273933,1273937,1273938,1,5,"SFIX",1273972,-34,-26
"2",1,85,1,2,618,1284380,1284384,1284385,1,5,"SFIX",1284411,-26,-18
"3",1,25,1,3,618,1299519,1299523,1299524,1,5,"SFIX",1299537,-13,-5
"4",1,73,1,4,618,1308458,1308461,1308462,1,4,"SFIX",1308489,-27,-19
"5",1,55,1,5,618,1327053,1327056,1327058,2,5,"SFIX",1327100,-42,-34
"6",1,35,2,6,618,1346629,1346632,1346634,2,5,"SFIX",1346657,-23,-15
"7",1,23,2,7,618,1361395,1361399,1361400,1,5,"SFIX",1361441,-41,-33
"8",1,30,3,8,618,1381028,1381032,1381037,5,9,"SFIX",1381067,-30,-22
"9",1,49,1,9,618,1392096,1392099,1392106,7,10,"SFIX",1392131,-25,-17
"10",1,14,2,10,618,1402641,1402645,1402650,5,9,"SFIX",1402692,-42,-34
"11",1,80,2,11,618,1427622,1427626,1427627,1,5,"SFIX",1427654,-27,-19
"12",1,17,2,12,618,1434007,1434011,1434015,4,8,"SFIX",1434042,-27,-19
"13",1,44,2,13,618,1461714,1461718,1461719,1,5,"SFIX",1461751,-32,-24
"14",1,79,1,14,618,1494843,1494846,1494848,2,5,"SFIX",1494864,-16,-8
"15",1,40,1,15,618,1546053,1546057,1546061,4,8,"SFIX",1546094,-33,-25
"16",1,19,1,16,618,1557733,1557737,1557738,1,5,"SFIX",1557758,-20,-12
"17",1,67,1,17,618,1569470,1569474,1569478,4,8,"SFIX",1569514,-36,-28
"18",1,34,1,18,618,1586810,1586813,1586814,1,4,"SFIX",1586850,-36,-28
"19",1,88,1,19,618,1597523,1597527,1597533,6,10,"SFIX",1597562,-29,-21
"20",1,78,3,20,618,1607344,1607348,1607349,1,5,"SFIX",1607393,-44,-36
"21",1,39,3,21,618,1631709,1631712,1631714,2,5,"SFIX",1631739,-25,-17
