"","sub","item","cond","seq","Bnd_loc","tCross","tStarted","tCompleted","tChange","tActualChange","nextFlag","tNextFlag","tChangetoFixOnset","tChangetoFixOnset_VD"
"22",1,68,2,22,618,1667405,1667409,1667410,1,5,"SFIX",1667573,-163,-155
"23",1,89,2,23,618,1692999,1693001,1693003,2,4,"SFIX",1693046,-43,-35
"24",1,51,3,24,618,1699864,1699868,1699872,4,8,"SFIX",1699904,-32,-24
"25",1,43,1,25,618,1718386,1718390,1718394,4,8,"SFIX",1718432,-38,-30
"26",1,12,3,26,618,1729239,1729242,1729248,6,9,"SFIX",1729282,-34,-26
"27",1,37,1,27,618,1741037,1741040,1741043,3,6,"SFIX",1741064,-21,-13
"28",1,11,2,28,618,1750830,1750833,1750838,5,8,"SFIX",1750856,-18,-10
"29",1,71,2,29,618,1761957,1761959,1761960,1,3,"SFIX",1761986,-26,-18
"30",1,60,3,30,618,1786215,1786218,1786219,1,4,"SFIX",1786256,-37,-29
"31",1,69,3,31,618,1795857,1795860,1795863,3,6,"SFIX",1795887,-24,-16
"32",1,84,3,32,618,1812002,1812005,1812009,4,7,"SFIX",1812041,-32,-24
"33",1,66,3,33,618,2029791,2029794,2029795,1,4,"SFIX",2029834,-39,-31
"34",1,38,2,34,618,2062166,2062170,2062176,6,10,"SFIX",2062211,-35,-27
"35",1,3,3,35,618,2079213,2079217,2079222,5,9,"SFIX",2079252,-30,-22
"36",1,2,2,36,618,2089876,2089880,2089881,1,5,"SFIX",2089927,-46,-38
"37",1,50,2,37,618,2106209,2106213,2106215,2,6,"SFIX",2106233,-18,-10
"38",1,59,2,38,618,2124837,2124840,2124846,6,9,"SFIX",2124887,-41,-33
"39",1,87,3,39,618,2141028,2141032,2141033,1,5,"SFIX",2141063,-30,-22
"40",1,62,2,40,618,2150331,2150336,2150341,5,10,"SFIX",2150359,-18,-10
"41",1,41,2,41,618,2186644,2186648,2186649,1,5,"SFIX",2186680,-31,-23
"42",1,22,1,42,618,2234367,2234370,2234372,2,5,"SFIX",2234410,-38,-30
"43",1,57,3,43,618,2243440,2243443,2243445,2,5,"SFIX",2243469,-24,-16
"44",1,5,2,44,618,2264593,2264597,2264599,2,6,"SFIX",2264626,-27,-19
"45",1,77,2,45,618,2273817,2273820,2273827,7,10,"SFIX",2273852,-25,-17
"46",1,7,1,46,618,2281547,2281551,2281552,1,5,"SFIX",2281574,-22,-14
"47",1,26,2,47,618,2292418,2292421,2292425,4,7,"SFIX",2292453,-28,-20
"48",1,33,3,48,618,2348610,2348614,2348614,0,4,"SFIX",2348632,-18,-10
"49",1,6,3,49,618,2392611,2392615,2392620,5,9,"SFIX",2392651,-31,-23
"50",1,46,1,50,618,2405141,2405146,2405149,3,8,"SFIX",2405219,-70,-62
"51",1,31,1,51,618,2418003,2418007,2418008,1,5,"SFIX",2418051,-43,-35
"52",1,16,1,52,618,2462270,2462273,2462278,5,8,"SFIX",2462299,-21,-13
"53",1,83,2,53,618,2474533,2474536,2474538,2,5,"SFIX",2474563,-25,-17
"54",1,81,3,54,618,2519360,2519364,2519365,1,5,"SFIX",2519377,-12,-4
"55",1,8,2,55,618,2526328,2526331,2526334,3,6,"SFIX",2526338,-4,4
"56",1,56,2,56,618,2551234,2551238,2551244,6,10,"SFIX",2551262,-18,-10
"57",1,53,2,57,618,2561980,2561984,2561985,1,5,"SFIX",2562016,-31,-23
"58",1,29,2,58,618,2581106,2581109,2581111,2,5,"SFIX",2581125,-14,-6
"59",1,32,2,59,618,2615713,2615717,2615721,4,8,"SFIX",2615737,-16,-8
"60",1,58,1,60,618,2636982,2636986,2636987,1,5,"SFIX",2637016,-29,-21
"61",1,63,3,61,618,2832482,2832486,2832493,7,11,"SFIX",2832517,-24,-16
"62",1,24,3,62,618,2856321,2856324,2856325,1,4,"SFIX",2856355,-30,-22
"63",1,27,3,63,618,2866407,2866411,2866412,1,5,"SFIX",2866437,-25,-17
"64",1,90,3,64,618,2879723,2879727,2879734,7,11,"SFIX",2879772,-38,-30
"65",1,54,3,65,618,2887568,2887572,2887574,2,6,"SFIX",2887598,-24,-16
"66",1,86,2,66,618,2914193,2914197,2914198,1,5,"SFIX",2914223,-25,-17
"67",1,72,3,67,618,2921455,2921458,2921459,1,4,"SFIX",2921503,-44,-36
"68",1,82,1,68,618,2937862,2937866,2937867,1,5,"SFIX",2937911,-44,-36
"69",1,18,3,69,618,2953832,2953836,2953842,6,10,"SFIX",2953871,-29,-21
"70",1,70,1,70,618,2970646,2970650,2970651,1,5,"SFIX",2970693,-42,-34
"71",1,20,2,71,618,2995970,2995975,2995976,1,6,"SFIX",2996006,-30,-22
"72",1,21,3,72,618,3005896,3005899,3005900,1,4,"SFIX",3005953,-53,-45
"73",1,65,2,73,618,3031534,3031537,3031539,2,5,"SFIX",3031566,-27,-19
"74",1,1,1,74,618,3047920,3047924,3047925,1,5,"SFIX",3047945,-20,-12
"75",1,42,3,75,618,3119602,3119607,3119610,3,8,"SFIX",3119635,-25,-17
"76",1,9,3,76,618,3138264,3138268,3138274,6,10,"SFIX",3138290,-16,-8
"77",1,45,3,77,618,3162945,3162953,3162959,6,14,"SFIX",3163020,-61,-53
"78",1,75,3,78,618,3173091,3173095,3173096,1,5,"SFIX",3173123,-27,-19
"79",1,28,1,79,618,3236118,3236122,3236123,1,5,"SFIX",3236160,-37,-29
"80",1,4,1,80,618,3257659,3257663,3257664,1,5,"SFIX",3257686,-22,-14
"81",1,64,1,81,618,3275312,3275316,3275317,1,5,"SFIX",3275351,-34,-26
"82",1,15,3,82,618,3297676,3297679,3297681,2,5,"SFIX",3297710,-29,-21
"83",1,76,1,83,618,3308148,3308152,3308155,3,7,"SFIX",3308173,-18,-10
"84",1,61,1,84,618,3316235,3316237,3316239,2,4,"SFIX",3316273,-34,-26
"85",1,10,1,85,618,3325279,3325282,3325284,2,5,"SFIX",3325314,-30,-22
"86",1,52,1,86,618,3340361,3340364,3340365,1,4,"SFIX",3340399,-34,-26
"87",1,13,1,87,618,3360238,3360240,3360247,7,9,"SFIX",3360259,-12,-4
"88",1,36,3,88,618,3369393,3369397,3369398,1,5,"SFIX",3369446,-48,-40
"89",1,74,2,89,618,3382355,3382359,3382360,1,5,"SFIX",3382401,-41,-33
"90",1,48,3,90,618,3402034,3402038,3402039,1,5,"SFIX",3402061,-22,-14
"91",2,3,1,1,618,4701244,4701247,4701249,2,5,"SFIX",4701279,-30,-22
"92",2,19,2,2,618,4744007,4744011,4744012,1,5,"SFIX",4744028,-16,-8
"93",2,22,2,3,618,4773217,4773219,4773221,2,4,"SFIX",4773249,-28,-20
"94",2,65,3,4,618,4786917,4786921,4786926,5,9,"SFIX",4786948,-22,-14
"95",2,88,2,5,618,4797303,4797315,4797316,1,13,"SFIX",4797449,-133,-125
"96",2,27,1,6,618,4815762,4815765,4815768,3,6,"SFIX",4815801,-33,-25
"97",2,83,3,7,618,4916491,4916495,4916496,1,5,"SFIX",4916497,-1,7
"98",2,86,3,8,618,4930859,4930867,4930868,1,9,"SFIX",4930920,-52,-44
"99",2,2,3,9,618,4942716,4942730,4942735,5,19,"SFIX",4942837,-102,-94
"100",2,5,3,10,618,4958138,4958142,4958143,1,5,"SFIX",4958162,-19,-11
"101",2,74,3,11,618,4977128,4977139,4977142,3,14,"SFIX",4977278,-136,-128
"102",2,53,3,12,618,5040723,5040726,5040728,2,5,"SFIX",5040760,-32,-24
"103",2,47,3,13,618,5069657,5069661,5069662,1,5,"SFIX",5069678,-16,-8
"104",2,57,1,14,618,5079816,5079819,5079821,2,5,"SFIX",5079840,-19,-11
"105",2,9,1,15,618,5090421,5090425,5090430,5,9,"SFIX",5090451,-21,-13
"106",2,31,2,16,618,5099798,5099801,5099807,6,9,"SFIX",5099829,-22,-14
"107",2,18,1,17,618,5120788,5120795,5120796,1,8,"SFIX",5120820,-24,-16
"108",2,75,1,18,618,5133857,5133860,5133862,2,5,"SFIX",5133888,-26,-18
"109",2,71,3,19,618,5159949,5159960,5159964,4,15,"SFIX",5160087,-123,-115
"110",2,26,3,20,618,5169975,5169988,5169989,1,14,"SFIX",5170125,-136,-128
"111",2,10,2,21,618,5202518,5202522,5202527,5,9,"SFIX",5202544,-17,-9
"112",2,77,3,22,618,5212159,5212161,5212163,2,4,"SFIX",5212179,-16,-8
"113",2,50,3,23,618,5219548,5219552,5219556,4,8,"SFIX",5219588,-32,-24
"114",2,69,1,24,618,5237099,5237143,5237144,1,45,"SFIX",5237154,-10,-2
"115",2,11,3,25,618,5244156,5244172,5244173,1,17,"SFIX",5244293,-120,-112
"116",2,15,1,26,618,5266056,5266064,5266065,1,9,"SFIX",5266089,-24,-16
"117",2,44,3,27,618,5280737,5280741,5280744,3,7,"SFIX",5280772,-28,-20
"118",2,51,1,28,618,5317866,5317878,5317880,2,14,"SFIX",5317996,-116,-108
"119",2,66,1,29,618,5340425,5340429,5340431,2,6,"SFIX",5340471,-40,-32
"120",2,61,2,30,618,5518093,5518097,5518098,1,5,"SFIX",5518135,-37,-29
"121",2,81,1,31,618,5533373,5533378,5533379,1,6,"SFIX",5533513,-134,-126
"122",2,32,3,32,618,5541577,5541600,5541604,4,27,"SFIX",5541731,-127,-119
"123",2,63,1,33,618,5549746,5549758,5549759,1,13,"SFIX",5549909,-150,-142
"124",2,25,2,34,618,5572251,5572253,5572256,3,5,"SFIX",5572279,-23,-15
"125",2,12,1,35,618,5608086,5608090,5608092,2,6,"SFIX",5608139,-47,-39
"126",2,84,1,36,618,5635817,5635821,5635825,4,8,"SFIX",5635848,-23,-15
"127",2,70,2,37,618,5645801,5645806,5645807,1,6,"SFIX",5645836,-29,-21
"128",2,82,2,38,618,5659134,5659138,5659139,1,5,"SFIX",5659168,-29,-21
"129",2,42,1,39,618,5667952,5667955,5667958,3,6,"SFIX",5667982,-24,-16
"130",2,41,3,40,618,5705960,5705963,5705968,5,8,"SFIX",5705999,-31,-23
"131",2,6,1,41,618,5740059,5740079,5740085,6,26,"SFIX",5740152,-67,-59
"132",2,24,1,42,618,5757288,5757296,5757297,1,9,"SFIX",5757322,-25,-17
"133",2,79,2,43,618,5770884,5770891,5770893,2,9,"SFIX",5770927,-34,-26
"134",2,4,2,44,618,5782421,5782425,5782427,2,6,"SFIX",5782455,-28,-20
"135",2,13,2,45,618,5793187,5793190,5793196,6,9,"SFIX",5793225,-29,-21
"136",2,17,3,46,618,5866187,5866191,5866194,3,7,"SFIX",5866225,-31,-23
"137",2,30,1,47,618,5901009,5901013,5901019,6,10,"SFIX",5901047,-28,-20
"138",2,72,1,48,618,5943872,5943875,5943877,2,5,"SFIX",5943909,-32,-24
"139",2,87,1,49,618,5953499,5953502,5953502,0,3,"SFIX",5953538,-36,-28
"140",2,90,1,50,618,6016151,6016164,6016166,2,15,"SFIX",6016263,-97,-89
"141",2,33,1,51,618,6024322,6024325,6024326,1,4,"SFIX",6024368,-42,-34
"142",2,1,2,52,618,6033225,6033228,6033230,2,5,"SFIX",6033246,-16,-8
"143",2,39,1,53,618,6041921,6041924,6041927,3,6,"SFIX",6041958,-31,-23
"144",2,60,1,54,618,6063617,6063632,6063638,6,21,"SFIX",6063749,-111,-103
"145",2,67,2,55,618,6082468,6082472,6082473,1,5,"SFIX",6082502,-29,-21
"146",2,34,2,56,618,6091342,6091346,6091347,1,5,"SFIX",6091375,-28,-20
"147",2,20,3,57,618,6106226,6106229,6106231,2,5,"SFIX",6106266,-35,-27
"148",2,21,1,58,618,6135116,6135120,6135121,1,5,"SFIX",6135145,-24,-16
"149",2,56,3,59,618,6143992,6143995,6143996,1,4,"SFIX",6144014,-18,-10
"150",2,68,3,60,618,6167519,6167522,6167524,2,5,"SFIX",6167554,-30,-22
"151",2,35,3,61,618,6343955,6343958,6343960,2,5,"SFIX",6343991,-31,-23
"152",2,58,2,62,618,6354821,6354823,6354830,7,9,"SFIX",6354851,-21,-13
"153",2,80,3,63,618,6364419,6364431,6364433,2,14,"SFIX",6364549,-116,-108
"154",2,49,2,64,618,6379544,6379547,6379549,2,5,"SFIX",6379570,-21,-13
"155",2,43,2,65,618,6401546,6401548,6401550,2,4,"SFIX",6401595,-45,-37
"156",2,23,3,66,618,6413068,6413080,6413082,2,14,"SFIX",6413200,-118,-110
"157",2,64,2,67,618,6424500,6424504,6424505,1,5,"SFIX",6424550,-45,-37
"158",2,37,2,68,618,6442478,6442490,6442491,1,13,"SFIX",6442608,-117,-109
"159",2,36,1,69,618,6450789,6450805,6450809,4,20,"SFIX",6450904,-95,-87
"160",2,89,3,70,618,6491942,6491945,6491947,2,5,"SFIX",6491963,-16,-8
"161",2,52,2,71,618,6497169,6497185,6497187,2,18,"SFIX",6497193,-6,2
"162",2,40,2,72,618,6549233,6549238,6549239,1,6,"SFIX",6549265,-26,-18
"163",2,29,3,73,618,6563291,6563293,6563295,2,4,"SFIX",6563322,-27,-19
"164",2,46,2,74,618,6586578,6586581,6586582,1,4,"SFIX",6586608,-26,-18
"165",2,54,1,75,618,6594424,6594443,6594445,2,21,"SFIX",6594537,-92,-84
"166",2,62,3,76,618,6640088,6640092,6640093,1,5,"SFIX",6640137,-44,-36
"167",2,16,2,77,618,6648189,6648205,6648206,1,17,"SFIX",6648306,-100,-92
"168",2,14,3,78,618,6726264,6726271,6726272,1,8,"SFIX",6726312,-40,-32
"169",2,45,1,79,618,6738544,6738546,6738548,2,4,"SFIX",6738590,-42,-34
"170",2,55,2,80,618,6760183,6760197,6760198,1,15,"SFIX",6760312,-114,-106
"171",2,59,3,81,618,6769859,6769872,6769874,2,15,"SFIX",6769908,-34,-26
"172",2,73,2,82,618,6785526,6785540,6785541,1,15,"SFIX",6785577,-36,-28
"173",2,78,1,83,618,6808791,6808795,6808796,1,5,"SFIX",6808819,-23,-15
"174",2,85,2,84,618,6824926,6824930,6824935,5,9,"SFIX",6824972,-37,-29
"175",2,7,2,85,618,6855910,6855913,6855914,1,4,"SFIX",6855952,-38,-30
"176",2,38,3,86,618,6863392,6863398,6863401,3,9,"SFIX",6863444,-43,-35
"177",2,48,1,87,618,6911608,6911612,6911616,4,8,"SFIX",6911640,-24,-16
"178",2,76,2,88,618,6930786,6930790,6930791,1,5,"SFIX",6930822,-31,-23
"179",2,8,3,89,618,6938182,6938186,6938187,1,5,"SFIX",6938204,-17,-9
"180",2,28,2,90,618,6962005,6962009,6962015,6,10,"SFIX",6962053,-38,-30
"181",3,5,1,1,618,1530310,1530314,1530315,1,5,"SFIX",1530335,-20,-12
"182",3,4,3,2,618,1542676,1542678,1542682,4,6,"SFIX",1542710,-28,-20
"183",3,23,1,3,618,1634906,1634912,1634914,2,8,"SFIX",1635095,-181,-173
"184",3,27,2,4,618,1646016,1646024,1646032,8,16,"SFIX",1646188,-156,-148
"185",3,1,3,5,618,1663004,1663012,1663013,1,9,"SFIX",1663068,-55,-47
"186",3,12,2,6,618,1681600,1681600,1681602,2,2,"SFIX",1681669,-67,-59
"187",3,39,2,7,618,1695895,1695903,1695905,2,10,"SFIX",1696058,-153,-145
"188",3,59,1,8,618,1708114,1708122,1708123,1,9,"SFIX",1708313,-190,-182
"189",3,37,3,9,618,1721989,1721997,1722003,6,14,"SFIX",1722041,-38,-30
"190",3,60,2,10,618,1750335,1750343,1750344,1,9,"SFIX",1750430,-86,-78
"191",3,62,1,11,618,1787726,1787750,1787752,2,26,"SFIX",1787775,-23,-15
"192",3,24,2,12,618,1839168,1839168,1839169,1,1,"SFIX",1839224,-55,-47
"193",3,13,3,13,618,1848617,1848624,1848625,1,8,"SFIX",1848676,-51,-43
"194",3,43,3,14,618,1875232,1875236,1875236,0,4,"SFIX",1875398,-162,-154
"195",3,28,3,15,618,1960496,1960496,1960498,2,2,"SFIX",1960690,-192,-184
"196",3,36,2,16,618,2005724,2005724,2005726,2,2,"SFIX",2005820,-94,-86
"197",3,76,3,17,618,2021549,2021560,2021561,1,12,"SFIX",2021781,-220,-212
"198",3,8,1,18,618,2044518,2044522,2044526,4,8,"SFIX",2044554,-28,-20
"199",3,72,2,19,618,2057750,2057755,2057761,6,11,"SFIX",2057776,-15,-7
"200",3,89,1,20,618,2065176,2065197,2065198,1,22,"SFIX",2065351,-153,-145
"201",3,10,3,21,618,2085340,2085346,2085347,1,7,"SFIX",2085523,-176,-168
"202",3,87,2,22,618,2123920,2123928,2123929,1,9,"SFIX",2123978,-49,-41
"203",3,70,3,23,618,2135355,2135358,2135359,1,4,"SFIX",2135394,-35,-27
"204",3,80,1,24,618,2146109,2146113,2146114,1,5,"SFIX",2146134,-20,-12
"205",3,14,1,25,618,2185220,2185229,2185230,1,10,"SFIX",2185290,-60,-52
"206",3,65,1,26,618,2201506,2201506,2201510,4,4,"SFIX",2201593,-83,-75
"207",3,67,3,27,618,2210889,2210893,2210894,1,5,"SFIX",2211094,-200,-192
"208",3,66,2,28,618,2224780,2224780,2224781,1,1,"SFIX",2224860,-79,-71
"209",3,48,2,29,618,2387733,2387744,2387751,7,18,"SFIX",2387790,-39,-31
"210",3,75,2,30,618,2463672,2463686,2463687,1,15,"SFIX",2463861,-174,-166
"211",3,79,3,31,618,2487298,2487315,2487316,1,18,"SFIX",2487482,-166,-158
"212",3,86,1,32,618,2504097,2504101,2504107,6,10,"SFIX",2504125,-18,-10
"213",3,74,1,33,618,2512253,2512260,2512261,1,8,"SFIX",2512317,-56,-48
"214",3,81,2,34,618,2541841,2541864,2541866,2,25,"SFIX",2542034,-168,-160
"215",3,88,3,35,618,2553141,2553155,2553156,1,15,"SFIX",2553313,-157,-149
"216",3,84,2,36,618,2579021,2579073,2579074,1,53,"SFIX",2579125,-51,-43
"217",3,47,1,37,618,2591309,2591312,2591316,4,7,"SFIX",2591344,-28,-20
"218",3,38,1,38,618,2603681,2603696,2603697,1,16,"SFIX",2603740,-43,-35
"219",3,56,1,39,618,2633852,2633856,2633857,1,5,"SFIX",2633884,-27,-19
"220",3,54,2,40,618,2659869,2659873,2659874,1,5,"SFIX",2659891,-17,-9
"221",3,35,1,41,618,2673617,2673622,2673628,6,11,"SFIX",2673650,-22,-14
"222",3,71,1,42,618,2689208,2689225,2689226,1,18,"SFIX",2689383,-157,-149
"223",3,6,2,43,618,2805109,2805120,2805122,2,13,"SFIX",2805305,-183,-175
"224",3,83,1,44,618,2824547,2824584,2824591,7,44,"SFIX",2824619,-28,-20
"225",3,52,3,45,618,2841543,2841556,2841558,2,15,"SFIX",2841720,-162,-154
"226",3,58,3,46,618,2857758,2857761,2857762,1,4,"SFIX",2857787,-25,-17
"227",3,7,3,47,618,2871922,2871925,2871928,3,6,"SFIX",2871957,-29,-21
"228",3,78,2,48,618,2883764,2883768,2883769,1,5,"SFIX",2883816,-47,-39
"229",3,25,3,49,618,2899397,2899403,2899405,2,8,"SFIX",2899455,-50,-42
"230",3,3,2,50,618,2914060,2914106,2914107,1,47,"SFIX",2914318,-211,-203
"231",3,90,2,51,618,2933940,2933943,2933945,2,5,"SFIX",2933989,-44,-36
"232",3,68,1,52,618,2943535,2943539,2943540,1,5,"SFIX",2943568,-28,-20
"233",3,63,2,53,618,2953777,2953782,2953784,2,7,"SFIX",2953794,-10,-2
"234",3,2,1,54,618,2974774,2974777,2974779,2,5,"SFIX",2974796,-17,-9
"235",3,50,1,55,618,3000151,3000154,3000156,2,5,"SFIX",3000298,-142,-134
"236",3,85,3,56,618,3023799,3023821,3023822,1,23,"SFIX",3023848,-26,-18
"237",3,9,2,57,618,3035277,3035325,3035330,5,53,"SFIX",3035369,-39,-31
"238",3,34,3,58,618,3055080,3055083,3055088,5,8,"SFIX",3055095,-7,1
"239",3,45,2,59,618,3093469,3093480,3093481,1,12,"SFIX",3093634,-153,-145
"240",3,29,1,60,618,3109962,3109966,3109968,2,6,"SFIX",3110016,-48,-40
"241",3,15,2,61,618,3130770,3130821,3130827,6,57,"SFIX",3130850,-23,-15
"242",3,77,1,62,618,3145068,3145073,3145076,3,8,"SFIX",3145244,-168,-160
"243",3,69,2,63,618,3165443,3165446,3165451,5,8,"SFIX",3165471,-20,-12
"244",3,61,3,64,618,3188478,3188492,3188498,6,20,"SFIX",3188662,-164,-156
"245",3,19,3,65,618,3493742,3493747,3493748,1,6,"SFIX",3493925,-177,-169
"246",3,30,2,66,618,3574862,3574869,3574872,3,10,"SFIX",3575033,-161,-153
"247",3,53,1,67,618,3596706,3596713,3596714,1,8,"EFIX",3595646,1843,1851
"248",3,51,2,68,618,3610577,3610581,3610582,1,5,"SFIX",3610610,-28,-20
"249",3,49,3,69,618,3628276,3628285,3628287,2,11,"SFIX",3628438,-151,-143
"250",3,33,2,70,618,3658980,3658984,3658985,1,5,"SFIX",3659012,-27,-19
"251",3,40,3,71,618,3671597,3671605,3671612,7,15,"SFIX",3671686,-74,-66
"252",3,73,3,72,618,3792680,3792684,3792684,0,4,"SFIX",3792721,-37,-29
"253",3,17,1,73,618,3803063,3803069,3803073,4,10,"SFIX",3803111,-38,-30
"254",3,26,1,74,618,3855513,3855517,3855518,1,5,"SFIX",3855553,-35,-27
"255",3,82,3,75,618,3872615,3872624,3872625,1,10,"SFIX",3872767,-142,-134
"256",3,55,3,76,618,3882459,3882466,3882467,1,8,"SFIX",3882480,-13,-5
"257",3,20,1,77,618,3898552,3898565,3898569,4,17,"SFIX",3898755,-186,-178
"258",3,44,1,78,618,3997358,3997408,3997409,1,51,"SFIX",3997416,-7,1
"259",3,46,3,79,618,4012107,4012111,4012112,1,5,"EFIX",4012097,414,422
"260",3,41,1,80,618,4054424,4054430,4054435,5,11,"SFIX",4054582,-147,-139
"261",3,18,2,81,618,4071748,4071753,4071757,4,9,"SFIX",4071767,-10,-2
"262",3,11,1,82,618,4082931,4082937,4082940,3,9,"SFIX",4083067,-127,-119
"263",3,32,1,83,618,4137311,4137318,4137320,2,9,"EFIX",4137307,278,286
"264",3,42,2,84,618,4159421,4159429,4159430,1,9,"SFIX",4159571,-141,-133
"265",3,22,3,85,618,4245139,4245143,4245144,1,5,"SFIX",4245172,-28,-20
"266",3,21,2,86,618,4259571,4259575,4259576,1,5,"SFIX",4259607,-31,-23
"267",3,64,3,87,618,4279841,4279842,4279846,4,5,"SFIX",4279873,-27,-19
"268",3,16,3,88,618,4343313,4343320,4343321,1,8,"SFIX",4343378,-57,-49
"269",3,57,2,89,618,4384826,4384833,4384834,1,8,"SFIX",4384876,-42,-34
"270",3,31,3,90,618,4402205,4402209,4402210,1,5,"SFIX",4402328,-118,-110
"271",4,2,2,1,618,5603336,5603340,5603341,1,5,"SFIX",5603380,-39,-31
"272",4,48,3,2,618,5681293,5681298,5681302,4,9,"SFIX",5681323,-21,-13
"273",4,70,1,3,618,5738152,5738161,5738162,1,10,"SFIX",5738206,-44,-36
"274",4,10,1,4,618,5749277,5749281,5749282,1,5,"SFIX",5749319,-37,-29
"275",4,27,3,5,618,5766501,5766518,5766520,2,19,"SFIX",5766612,-92,-84
"276",4,69,3,6,618,5802130,5802157,5802158,1,28,"SFIX",5802253,-95,-87
"277",4,82,1,7,618,5826584,5826588,5826594,6,10,"SFIX",5826618,-24,-16
"278",4,57,3,8,618,5865103,5865103,5865105,2,2,"SFIX",5865151,-46,-38
"279",4,43,1,9,618,5887125,5887129,5887130,1,5,"SFIX",5887157,-27,-19
"280",4,1,1,10,618,5915638,5915649,5915654,5,16,"SFIX",5915815,-161,-153
"281",4,54,3,11,618,5927764,5927768,5927769,1,5,"SFIX",5927794,-25,-17
"282",4,79,1,12,618,5939378,5939384,5939388,4,10,"SFIX",5939415,-27,-19
"283",4,7,1,13,618,5955074,5955074,5955078,4,4,"SFIX",5955121,-43,-35
"284",4,77,2,14,618,5980064,5980076,5980078,2,14,"SFIX",5980194,-116,-108
"285",4,45,3,15,618,5993471,5993475,5993476,1,5,"SFIX",5993513,-37,-29
"286",4,61,1,16,618,6004475,6004480,6004481,1,6,"SFIX",6004503,-22,-14
"287",4,18,3,17,618,6012359,6012364,6012367,3,8,"SFIX",6012402,-35,-27
"288",4,26,2,18,618,6029428,6029433,6029434,1,6,"SFIX",6029474,-40,-32
"289",4,76,1,19,618,6045237,6045240,6045241,1,4,"SFIX",6045278,-37,-29
"290",4,64,1,20,618,6068090,6068094,6068095,1,5,"SFIX",6068125,-30,-22
"291",4,71,2,21,618,6104080,6104084,6104086,2,6,"SFIX",6104110,-24,-16
"292",4,35,2,22,618,6114697,6114723,6114724,1,27,"SFIX",6114829,-105,-97
"293",4,24,3,23,618,6147665,6147716,6147720,4,55,"SFIX",6147759,-39,-31
"294",4,23,2,24,618,6184695,6184699,6184702,3,7,"SFIX",6184723,-21,-13
"295",4,33,3,25,618,6198622,6198636,6198637,1,15,"SFIX",6198772,-135,-127
"296",4,68,2,26,618,6219569,6219572,6219574,2,5,"SFIX",6219614,-40,-32
"297",4,5,2,27,618,6250495,6250547,6250548,1,53,"SFIX",6250573,-25,-17
"298",4,90,3,28,618,6274388,6274402,6274404,2,16,"SFIX",6274540,-136,-128
"299",4,36,3,29,618,6294364,6294385,6294387,2,23,"SFIX",6294461,-74,-66
"300",4,44,2,30,618,6317761,6317774,6317775,1,14,"SFIX",6317912,-137,-129
"301",4,42,3,31,618,6528434,6528445,6528447,2,13,"SFIX",6528563,-116,-108
"302",4,67,1,32,618,6550591,6550607,6550609,2,18,"SFIX",6550639,-30,-22
"303",4,8,2,33,618,6560848,6560856,6560858,2,10,"SFIX",6560888,-30,-22
"304",4,31,1,34,618,6573571,6573583,6573589,6,18,"SFIX",6573700,-111,-103
"305",4,39,3,35,618,6699070,6699075,6699076,1,6,"SFIX",6699100,-24,-16
"306",4,66,3,36,618,6716413,6716413,6716415,2,2,"SFIX",6716454,-39,-31
"307",4,3,3,37,618,6723678,6723690,6723691,1,13,"SFIX",6723834,-143,-135
