"","sub","cond","item","seq","start_time","end_time","duration_ms"
"9",1,2,47,1,1272381,1275469,3088
"11",1,1,85,2,1282102,1286654,4552
"13",1,1,25,3,1295817,1301053,5236
"15",1,1,73,4,1307003,1310085,3082
"17",1,1,55,5,1323707,1328798,5091
"20",1,2,35,6,1344882,1348594,3712
"22",1,2,23,7,1359285,1362882,3597
"25",1,3,30,8,1377658,1382562,4904
"27",1,1,49,9,1389443,1393911,4468
"29",1,2,14,10,1399714,1404294,4580
"33",1,2,80,11,1425238,1429367,4129
"34",1,2,17,12,1432350,1436017,3667
"38",1,2,44,13,1459984,1463855,3871
"42",1,1,79,14,1492590,1497047,4457
"43",1,1,40,15,1543890,1547152,3262
"45",1,1,19,16,1554917,1559965,5048
"47",1,1,67,17,1567320,1570749,3429
"49",1,1,34,18,1584372,1588480,4108
"51",1,1,88,19,1595137,1600392,5255
"52",1,3,78,20,1604989,1608550,3561
"55",1,3,39,21,1629583,1633256,3673
"60",1,2,68,22,1664338,1670457,6119
"63",1,2,89,23,1690812,1694857,4045
"64",1,3,51,24,1697913,1701105,3192
"67",1,1,43,25,1716757,1719468,2711
"69",1,3,12,26,1726304,1730589,4285
"71",1,1,37,27,1738366,1742457,4091
"73",1,2,11,28,1748823,1752587,3764
"75",1,2,71,29,1759685,1763653,3968
"78",1,3,60,30,1783507,1788154,4647
"80",1,3,69,31,1794508,1797950,3442
"82",1,3,84,32,1809768,1814263,4495
"85",1,3,66,33,2027830,2031476,3646
"89",1,2,38,34,2059780,2063967,4187
"92",1,3,3,35,2076335,2080550,4215
"94",1,2,2,36,2087637,2091307,3670
"97",1,2,50,37,2104086,2108109,4023
"100",1,2,59,38,2123406,2126357,2951
"102",1,3,87,39,2137507,2143766,6259
"103",1,2,62,40,2147749,2151795,4046
"108",1,2,41,41,2184660,2189284,4624
"115",1,1,22,42,2231803,2235478,3675
"117",1,3,57,43,2241506,2249934,8428
"119",1,2,5,44,2262512,2266699,4187
"121",1,2,77,45,2272274,2274974,2700
"122",1,1,7,46,2279450,2282831,3381
"124",1,2,26,47,2289931,2294136,4205
"126",1,3,33,48,2346750,2349914,3164
"131",1,3,6,49,2390463,2393920,3457
"133",1,1,46,50,2403006,2407648,4642
"135",1,1,31,51,2415239,2420333,5094
"141",1,1,16,52,2459573,2464069,4496
"143",1,2,83,53,2472277,2476473,4196
"148",1,3,81,54,2517018,2520961,3943
"149",1,2,8,55,2524360,2528089,3729
"152",1,2,56,56,2548511,2552839,4328
"154",1,2,53,57,2560580,2564058,3478
"157",1,2,29,58,2579356,2583538,4182
"162",1,2,32,59,2612791,2617402,4611
"165",1,1,58,60,2635527,2638346,2819
"168",1,3,63,61,2830758,2834300,3542
"171",1,3,24,62,2854504,2858092,3588
"173",1,3,27,63,2864447,2868920,4473
"175",1,3,90,64,2877478,2881750,4272
"176",1,3,54,65,2885965,2889717,3752
"179",1,2,86,66,2911872,2915965,4093
"180",1,3,72,67,2919564,2922773,3209
"182",1,1,82,68,2935353,2940726,5373
"184",1,3,18,69,2951277,2955704,4427
"187",1,1,70,70,2968267,2972997,4730
"190",1,2,20,71,2992032,2997670,5638
"192",1,3,21,72,3003413,3008338,4925
"196",1,2,65,73,3029952,3032979,3027
"198",1,1,1,74,3045807,3050208,4401
"202",1,3,42,75,3116385,3122503,6118
"205",1,3,9,76,3135668,3139363,3695
"209",1,3,45,77,3161097,3165399,4302
"211",1,3,75,78,3171374,3174100,2726
"220",1,1,28,79,3233962,3238984,5022
"223",1,1,4,80,3255802,3258600,2798
"226",1,1,64,81,3272708,3276872,4164
"229",1,3,15,82,3295998,3299393,3395
"231",1,1,76,83,3305323,3309144,3821
"232",1,1,61,84,3314152,3317103,2951
"233",1,1,10,85,3323040,3326555,3515
"236",1,1,52,86,3338740,3342086,3346
"239",1,1,13,87,3358075,3361257,3182
"241",1,3,36,88,3367556,3370650,3094
"243",1,2,74,89,3380325,3383434,3109
"245",1,3,48,90,3400492,3403310,2818
"12",2,1,3,1,4699345,4704462,5117
"16",2,2,19,2,4742373,4750695,8322
"19",2,2,22,3,4770079,4776292,6213
"21",2,3,65,4,4785135,4791304,6169
"221",2,2,88,5,4796545,4809175,12630
"23",2,1,27,6,4814047,4819247,5200
"271",2,3,83,7,4914403,4918821,4418
"291",2,3,86,8,4928733,4938915,10182
"30",2,3,2,9,4941309,4951512,10203
"32",2,3,5,10,4956359,4959969,3610
"35",2,3,74,11,4976516,4980268,3752
"421",2,3,53,12,5039484,5043961,4477
"46",2,3,47,13,5067533,5071553,4020
"48",2,1,57,14,5078546,5081337,2791
"50",2,1,9,15,5088456,5091946,3490
"521",2,2,31,16,5096905,5102769,5864
"551",2,1,18,17,5118310,5125106,6796
"57",2,1,75,18,5130567,5140722,10155
"59",2,3,71,19,5158313,5164754,6441
"601",2,3,26,20,5167514,5173256,5742
"641",2,2,10,21,5199597,5203914,4317
"66",2,3,77,22,5210693,5214195,3502
"671",2,3,50,23,5217104,5228819,11715
"691",2,1,69,24,5236024,5240412,4388
"70",2,3,11,25,5242691,5249521,6830
"731",2,1,15,26,5262694,5270660,7966
"751",2,3,44,27,5279079,5287532,8453
"79",2,1,51,28,5317065,5321358,4293
"821",2,1,66,29,5337916,5343748,5832
"84",2,2,61,30,5516514,5522230,5716
"86",2,1,81,31,5532657,5537774,5117
"87",2,3,32,32,5540024,5543750,3726
"891",2,1,63,33,5548738,5551734,2996
"921",2,2,25,34,5570464,5574022,3558
"971",2,1,12,35,5605288,5612935,7647
"1001",2,1,84,36,5633303,5638574,5271
"101",2,2,70,37,5643423,5648351,4928
"1021",2,2,82,38,5656053,5662239,6186
"1031",2,1,42,39,5666292,5668527,2235
"107",2,3,41,40,5704275,5710346,6071
"111",2,1,6,41,5737900,5746896,8996
"113",2,1,24,42,5754796,5764121,9325
"1151",2,2,79,43,5770152,5775819,5667
"116",2,2,4,44,5780660,5784499,3839
"118",2,2,13,45,5791588,5795288,3700
"123",2,3,17,46,5864740,5872062,7322
"1261",2,1,30,47,5898637,5905722,7085
"130",2,1,72,48,5941777,5945810,4033
"1311",2,1,87,49,5950781,5955702,4921
"137",2,1,90,50,6015468,6020266,4798
"138",2,1,33,51,6022882,6026398,3516
"140",2,2,1,52,6031730,6035395,3665
"142",2,1,39,53,6040361,6045237,4876
"146",2,1,60,54,6062929,6067748,4819
"1491",2,2,67,55,6077092,6084467,7375
"150",2,2,34,56,6086757,6097595,10838
"1521",2,3,20,57,6103603,6107763,4160
"1571",2,1,21,58,6133344,6136238,2894
"159",2,3,56,59,6141727,6145316,3589
"163",2,3,68,60,6164438,6169793,5355
"1651",2,3,35,61,6342598,6345470,2872
"167",2,2,58,62,6353446,6356950,3504
"169",2,3,80,63,6363526,6368361,4835
"1711",2,2,49,64,6378035,6380651,2616
"174",2,2,43,65,6399976,6406062,6086
"1761",2,3,23,66,6412345,6415689,3344
"178",2,2,64,67,6421176,6426198,5022
"181",2,2,37,68,6441821,6445622,3801
"183",2,1,36,69,6450129,6453167,3038
"188",2,3,89,70,6490499,6493668,3169
"189",2,2,52,71,6496599,6500335,3736
"194",2,2,40,72,6547810,6550468,2658
"1961",2,3,29,73,6560329,6565888,5559
"1981",2,2,46,74,6585156,6588275,3119
"200",2,1,54,75,6593014,6598504,5490
"2051",2,3,62,76,6636854,6641716,4862
"206",2,2,16,77,6647171,6651488,4317
"210",2,3,14,78,6723364,6729769,6405
"212",2,1,45,79,6736293,6747087,10794
"215",2,2,55,80,6759694,6764238,4544
"217",2,3,59,81,6769120,6772747,3627
"2201",2,2,73,82,6784970,6789540,4570
"2231",2,1,78,83,6805885,6814811,8926
"225",2,2,85,84,6823327,6831410,8083
"2291",2,2,7,85,6854588,6857050,2462
"2311",2,3,38,86,6861821,6866458,4637
"238",2,1,48,87,6910260,6913003,2743
"2411",2,2,76,88,6928817,6933867,5050
"242",2,3,8,89,6936374,6940251,3877
"246",2,2,28,90,6960266,6964776,4510
"10",3,1,5,1,1527475,1532717,5242
"125",3,3,4,2,1539710,1546011,6301
"201",3,1,23,3,1634398,1639488,5090
"222",3,2,27,4,1645716,1654501,8785
"24",3,3,1,5,1662775,1671285,8510
"26",3,2,12,6,1679370,1687245,7875
"28",3,2,39,7,1693796,1699720,5924
"301",3,1,59,8,1706288,1711565,5277
"321",3,3,37,9,1721899,1729193,7294
"351",3,2,60,10,1748434,1754221,5787
"39",3,1,62,11,1787560,1795672,8112
"431",3,2,24,12,1835774,1842622,6848
"451",3,3,13,13,1848535,1853895,5360
"481",3,3,43,14,1872950,1879249,6299
"522",3,3,28,15,1958239,1967153,8914
"571",3,2,36,16,2001935,2009432,7497
"591",3,3,76,17,2020414,2032144,11730
"61",3,1,8,18,2041709,2048314,6605
"631",3,2,72,19,2054972,2059820,4848
"642",3,1,89,20,2061871,2067977,6106
"661",3,3,10,21,2083317,2090049,6732
"692",3,2,87,22,2120909,2128098,7189
"701",3,3,70,23,2132168,2138921,6753
"711",3,1,80,24,2141342,2148105,6763
"752",3,1,14,25,2183014,2191170,8156
"77",3,1,65,26,2199536,2204904,5368
"781",3,3,67,27,2209059,2218055,8996
"791",3,2,66,28,2221261,2229047,7786
"822",3,2,48,29,2387577,2391540,3963
"88",3,2,75,30,2461544,2467493,5949
"90",3,3,79,31,2485495,2490373,4878
"91",3,1,86,32,2500235,2506069,5834
