"","X","sub","item","cond.x","seq","SFIX","EFIX","xPos","yPos","fix_num","fix_dur","sacc_dur","sent","line","word","word.1","char_trial","char_line","wordID","land_pos","sacc_len","outOfBnds","outsideText","time_since_start","reMapped","word_line","max_char_line","regress","regress2nd","Rtn_sweep","Rtn_sweep_type","filename","prev_RS","next_RS","prevChar","nextChar","prevX","nextX","prevY","prev_max_char_line","launchSite","landStart","undersweep_prob","prevEFIX","...1","Bnd_loc","tCross","tStarted","tCompleted","tChange","tActualChange","nextFlag","tNextFlag","tChangetoFixOnset","tChangetoFixOnset_VD","started_afterEFIX","DS_in_RS","cond.y","offset","Rtnsweep_land_char","corr_sacc_land","corr_sacc_land_char"
"1",1670,1,1,1,74,3047945,3048213,424.7,714.4,8,268,57,1,2,13,13,65,11,"and",0,40,0,0,2383,0,3,63,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,51,6,1151.3,337.7,502,54,3,11,1,3047887,74,618,3047920,3047924,3047925,1,5,"SFIX",3047945,-20,-12,TRUE,1,1,238,11,337.7,6
"2",784,1,2,2,36,2089927,2090028,306.5,717.6,9,101,82,1,2,14,14,73,6,"was",2,59,0,0,2569,0,2,42,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,65,2,1361.4,237.7,502.4,67,2,6,1,2089844,36,618,2089876,2089880,2089881,1,5,"SFIX",2089927,-46,-38,TRUE,1,2,151,9,237.7,5
"3",763,1,3,3,35,2079252,2079482,430.5,688.9,9,230,71,1,2,13,13,61,6,"festival",0,47,0,0,3191,0,2,49,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,53,14,1266.7,566.1,510.6,55,2,6,0,2079180,35,618,2079213,2079217,2079222,5,9,"SFIX",2079252,-30,-22,TRUE,1,3,383,3,NA,NA
"4",1812,1,4,1,80,3257686,3257889,437.4,748.4,10,203,75,1,2,14,14,72,5,"they",2,56,0,0,2178,0,2,40,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,61,7,1448.6,473.4,501.5,67,6,5,0,3257512,80,618,3257659,3257663,3257664,1,5,"SFIX",3257686,-22,-14,TRUE,1,1,357,5,NA,NA
"5",990,1,5,2,44,2264626,2264741,472.1,630.2,10,115,68,1,2,12,12,62,7,"some",1,45,0,0,2395,0,2,47,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,52,1,1276.5,353.9,487.5,55,3,7,1,2264557,44,618,2264593,2264597,2264599,2,6,"SFIX",2264626,-27,-19,TRUE,1,2,296,10,353.9,4
"6",1096,1,6,3,49,2392651,2392871,419.6,733.9,10,220,78,1,2,12,12,70,4,"because",4,55,0,0,2435,0,1,53,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,59,13,1416.9,589.4,537.7,66,7,4,0,2392572,49,618,2392611,2392615,2392620,5,9,"SFIX",2392651,-31,-23,TRUE,1,3,414,1,NA,NA
"7",1030,1,7,1,46,2281574,2281737,430.5,670.7,9,163,56,1,2,13,13,61,7,"small",5,47,0,0,2425,0,2,40,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,54,5,1271.7,388,497.7,54,0,7,1,2281517,46,618,2281547,2281551,2281552,1,5,"SFIX",2281574,-22,-14,TRUE,1,1,309,7,388,5
"8",1237,1,8,2,55,2526338,2526453,487.9,634.8,8,115,57,1,2,17,17,78,13,"whole",3,45,0,0,2265,0,3,66,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,58,3,1304.6,309.5,490.4,65,7,13,1,2526280,55,618,2526328,2526331,2526334,3,6,"SFIX",2526338,-4,4,TRUE,1,2,211,16,309.5,6
"9",1726,1,9,3,76,3138290,3138575,450.9,663.9,12,285,59,1,2,12,12,60,7,"barking",2,NA,0,0,3149,0,2,39,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,NA,15,1289.1,592.3,491.3,53,NA,7,0,3138230,76,618,3138264,3138268,3138274,6,10,"SFIX",3138290,-16,-8,TRUE,1,3,389,4,NA,NA
"10",1925,1,10,1,85,3325314,3325440,394.6,689.5,10,126,68,1,2,15,15,74,8,"the",3,55,0,0,4085,0,2,45,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,63,5,1384,343.5,490.8,66,3,8,1,3325245,85,618,3325279,3325282,3325284,2,5,"SFIX",3325314,-30,-22,TRUE,1,1,268,8,343.5,5
"11",595,1,11,2,28,1750856,1751004,532.8,680.9,9,148,47,1,2,16,16,68,14,"were",1,30,0,0,2672,0,4,34,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,44,4,1069.5,347.6,505.1,54,10,14,1,1750808,28,618,1750830,1750833,1750838,5,8,"SFIX",1750856,-18,-10,TRUE,1,2,235,17,347.6,7
"12",551,1,12,3,26,1729282,1729505,465.9,712.1,10,223,77,1,2,16,16,71,6,"indoors",1,59,0,0,4074,0,2,46,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,65,14,1525.7,611,498.8,65,0,6,0,1729204,26,618,1729239,1729242,1729248,6,9,"SFIX",1729282,-34,-26,TRUE,1,3,423,3,NA,NA
