"","X","sub","item","cond.x","seq","SFIX","EFIX","xPos","yPos","fix_num","fix_dur","sacc_dur","sent","line","word","word.1","char_trial","char_line","wordID","land_pos","sacc_len","outOfBnds","outsideText","time_since_start","reMapped","word_line","max_char_line","regress","regress2nd","Rtn_sweep","Rtn_sweep_type","filename","prev_RS","next_RS","prevChar","nextChar","prevX","nextX","prevY","prev_max_char_line","launchSite","landStart","undersweep_prob","prevEFIX","...1","Bnd_loc","tCross","tStarted","tCompleted","tChange","tActualChange","nextFlag","tNextFlag","tChangetoFixOnset","tChangetoFixOnset_VD","started_afterEFIX","DS_in_RS","cond.y","offset","Rtnsweep_land_char","corr_sacc_land","corr_sacc_land_char"
"13",1969,1,13,1,87,3360259,3360467,415.8,668.7,8,208,60,2,2,12,12,60,5,"he",2,45,0,0,2506,0,2,46,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,50,12,1223.3,544.5,480.5,55,5,5,0,3360198,87,618,3360238,3360240,3360247,7,9,"SFIX",3360259,-12,-4,TRUE,1,1,337,5,NA,NA
"14",207,1,14,2,10,1402692,1402846,392.2,697.7,13,154,83,1,2,13,13,68,3,"who",3,61,0,0,3245,0,1,56,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,64,NA,1477.6,327.3,481.5,65,1,3,1,1402608,10,618,1402641,1402645,1402650,5,9,"SFIX",1402692,-42,-34,TRUE,1,2,285,6,327.3,3
"15",1854,1,15,3,82,3297710,3297863,393,662.9,6,153,59,1,2,15,15,64,11,"in",0,35,0,0,2168,0,3,47,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,46,7,1020.6,323.9,509.8,53,7,11,1,3297650,82,618,3297676,3297679,3297681,2,5,"SFIX",3297710,-29,-21,TRUE,1,3,257,8,323.9,4
"16",1167,1,16,1,52,2462299,2462441,449.3,679.6,12,142,75,1,2,15,15,75,8,"probably",4,59,0,0,3286,0,2,67,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,67,5,1518.6,395,508.8,67,0,8,1,2462223,52,618,2462270,2462273,2462278,5,8,"SFIX",2462299,-21,-13,TRUE,1,1,317,8,395,5
"17",247,1,17,2,12,1434042,1434210,431.7,694.8,8,168,60,1,2,12,12,61,7,"bothered",3,41,0,0,2162,0,2,61,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,48,NA,1182.4,318.4,483.5,54,6,7,1,1433981,12,618,1434007,1434011,1434015,4,8,"SFIX",1434042,-27,-19,TRUE,1,2,266,10,318.4,3
"18",1552,1,18,3,69,2953871,2954289,394.8,728,11,418,72,1,2,17,17,73,8,"headed",4,53,0,0,2845,0,2,47,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,61,18,1360.9,574.8,504.4,65,4,8,0,2953798,69,618,2953832,2953836,2953842,6,10,"SFIX",2953871,-29,-21,TRUE,1,3,322,5,NA,NA
"19",338,1,19,1,16,1557758,1557951,410.2,675.8,12,193,57,1,2,13,13,60,6,"forgotten",2,46,0,0,5856,0,2,43,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,52,5,1231.9,385.5,505.8,54,2,6,1,1557700,16,618,1557733,1557737,1557738,1,5,"SFIX",1557758,-20,-12,TRUE,1,1,303,6,385.5,5
"20",1607,1,20,2,71,2996006,2996140,447.7,655.8,13,134,99,1,2,14,14,78,12,"dramatic",3,NA,0,0,4262,0,4,37,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,NA,3,1421.6,275.3,486.9,66,NA,12,1,2995906,71,618,2995970,2995975,2995976,1,6,"SFIX",2996006,-30,-22,TRUE,1,2,180,15,275.3,6
"21",1628,1,21,3,72,3005953,3006107,369.9,732.6,10,154,94,1,2,14,14,62,8,"flushed",0,46,0,0,2762,0,3,39,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,54,4,1201.8,288.1,496.7,54,0,8,1,3005858,72,618,3005896,3005899,3005900,1,4,"SFIX",3005953,-53,-45,TRUE,1,3,286,5,288.1,1
"22",932,1,22,1,42,2234410,2234575,415.5,738.4,11,165,91,1,2,17,17,71,4,"to",0,56,0,0,3064,0,2,36,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,60,3,1425,382.5,515.6,67,7,4,1,2234318,42,618,2234367,2234370,2234372,2,5,"SFIX",2234410,-38,-30,TRUE,1,1,346,4,382.5,3
"23",136,1,23,2,7,1361441,1361605,318.1,712.4,8,164,77,1,2,14,14,57,3,"met",0,49,0,0,2404,0,2,46,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,52,NA,1202.2,262,514.9,54,2,3,1,1361363,7,618,1361395,1361399,1361400,1,5,"SFIX",1361441,-41,-33,TRUE,1,2,222,6,262,3
"24",1387,1,24,3,62,2856355,2856561,412.6,725.1,9,206,70,1,2,14,14,70,5,"disappointed",0,56,0,0,2098,0,2,69,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,61,13,1430.1,548.9,482,65,4,5,0,2856284,62,618,2856321,2856324,2856325,1,4,"SFIX",2856355,-30,-22,TRUE,1,3,387,2,NA,NA
"25",60,1,25,1,3,1299537,1299687,516.2,708,17,150,54,1,2,12,12,63,9,"claimed",5,42,0,0,4251,0,2,45,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,51,4,1276,430.1,474.9,54,3,9,1,1299482,3,618,1299519,1299523,1299524,1,5,"SFIX",1299537,-13,-5,TRUE,1,1,367,9,430.1,4
"26",1052,1,26,2,47,2292453,2292562,507,682.6,10,109,75,1,2,15,15,72,7,"our",1,56,0,0,2956,0,2,52,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,63,1,1523.8,408.4,480.3,65,2,7,1,2292377,47,618,2292418,2292421,2292425,4,7,"SFIX",2292453,-28,-20,TRUE,1,2,337,10,408.4,4
"27",1411,1,27,3,63,2866437,2866699,477.3,687.7,8,262,66,1,2,11,11,62,7,"restaurant",7,47,0,0,2228,0,1,63,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,54,19,1332.4,707.6,489.6,55,1,7,0,2866370,63,618,2866407,2866411,2866412,1,5,"SFIX",2866437,-25,-17,TRUE,1,3,422,4,NA,NA
"28",1785,1,28,1,79,3236160,3236390,366.1,684.6,10,230,75,1,2,12,12,72,7,"overseas,",7,52,0,0,3164,0,1,70,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,59,4,1311.8,313.6,510.9,65,6,7,1,3236084,79,618,3236118,3236122,3236123,1,5,"SFIX",3236160,-37,-29,TRUE,1,1,258,7,313.6,4
"29",1300,1,29,2,58,2581125,2581251,380.3,676.6,7,126,54,1,2,11,11,63,10,"all",2,42,0,0,2183,0,2,68,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,52,2,1147.7,233.3,510.5,53,1,10,1,2581070,58,618,2581106,2581109,2581111,2,5,"SFIX",2581125,-14,-6,TRUE,1,2,159,13,233.3,5
"30",164,1,30,3,8,1381067,1381353,422.6,685.6,14,286,73,1,2,14,14,74,7,"the",0,57,0,0,3936,0,2,40,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,64,15,1434.1,563.8,493.1,67,3,7,0,1380993,8,618,1381028,1381032,1381037,5,9,"SFIX",1381067,-30,-22,TRUE,1,3,352,4,NA,NA
"31",1140,1,31,1,51,2418051,2418237,367.2,717.8,11,186,106,1,2,13,13,61,8,"already",1,40,0,0,3367,0,3,70,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,48,6,1083,330.3,494.6,53,5,8,1,2417944,51,618,2418003,2418007,2418008,1,5,"SFIX",2418051,-43,-35,TRUE,1,1,233,8,330.3,6
"32",1331,1,32,2,59,2615737,2615847,506.9,639.6,12,110,76,1,2,15,15,74,7,"the",1,57,0,0,4456,0,2,46,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,64,NA,1535.8,394.5,510.5,67,3,7,1,2615660,59,618,2615713,2615717,2615721,4,8,"SFIX",2615737,-16,-8,TRUE,1,2,342,10,394.5,3
"33",1076,1,33,3,48,2348632,2348814,469.5,679.6,8,182,56,1,2,11,11,58,5,"in",0,43,0,0,2324,0,2,45,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,48,9,1233.2,542.4,503.7,53,5,5,0,2348575,48,618,2348610,2348614,2348614,0,4,"SFIX",2348632,-18,-10,TRUE,1,3,440,2,NA,NA
"34",379,1,34,1,18,1586850,1587122,337.9,690.9,10,272,73,1,2,14,14,71,5,"were",1,54,0,0,3868,0,2,55,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,59,13,1318.2,496.2,494.3,66,7,5,0,1586776,18,618,1586810,1586813,1586814,1,4,"SFIX",1586850,-36,-28,TRUE,1,1,265,5,NA,NA
"35",114,1,35,2,6,1346657,1346813,277.3,710.1,7,156,63,1,2,11,11,58,4,"jumped",4,46,0,0,2232,0,1,51,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,50,NA,1114.6,216.1,518.8,54,4,4,1,1346593,6,618,1346629,1346632,1346634,2,5,"SFIX",1346657,-23,-15,TRUE,1,2,168,7,216.1,3
"36",1988,1,36,3,88,3369446,3369651,433.8,709.4,8,205,86,1,2,14,14,72,7,"overlooking",7,58,0,0,2053,0,1,52,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,65,15,1460.5,567.2,505.1,65,0,7,0,3369281,88,618,3369393,3369397,3369398,1,5,"SFIX",3369446,-48,-40,TRUE,1,3,363,4,NA,NA
"37",576,1,37,1,27,1741064,1741212,367.2,730.6,12,148,45,1,2,12,12,62,7,"be",1,25,0,0,3272,0,2,49,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,32,5,816.4,331.1,508,55,23,7,1,1741018,27,618,1741037,1741040,1741043,3,6,"SFIX",1741064,-21,-13,TRUE,1,1,255,7,331.1,5
"38",738,1,38,2,34,2062211,2062357,265.5,751.1,10,146,83,1,2,17,17,70,4,"the",1,59,0,0,2971,0,2,49,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,63,2,1324.5,222.9,522.6,66,3,4,1,2062127,34,618,2062166,2062170,2062176,6,10,"SFIX",2062211,-35,-27,TRUE,1,2,147,7,222.9,5
"39",450,1,39,3,21,1631739,1631946,281.7,695.6,8,207,73,1,2,12,12,58,4,"money",4,43,0,0,2746,0,1,45,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,47,10,1058.3,378.7,500.5,54,7,4,0,1631665,21,618,1631709,1631712,1631714,2,5,"SFIX",1631739,-25,-17,TRUE,1,3,270,1,NA,NA
"40",317,1,40,1,15,1546094,1546192,434,702.9,9,98,68,1,2,14,14,78,13,"college",0,45,0,0,2761,0,3,32,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,58,4,1250.4,278.1,527.5,65,7,13,1,1546025,15,618,1546053,1546057,1546061,4,8,"SFIX",1546094,-33,-25,TRUE,1,1,209,13,278.1,4
"41",902,1,41,2,41,2186680,2186812,386.8,694.4,9,132,66,1,2,15,15,65,10,"to",2,39,0,0,2311,0,3,42,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,49,NA,1090.3,192.6,510.2,55,6,10,1,2186613,41,618,2186644,2186648,2186649,1,5,"SFIX",2186680,-31,-23,TRUE,1,2,169,13,192.6,2
"42",1696,1,42,3,75,3119635,3119960,528.1,668.9,11,325,71,1,2,16,16,76,11,"the",0,50,0,0,8479,0,3,41,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,61,17,1439.3,642.1,498.5,65,4,11,0,3119563,75,618,3119602,3119607,3119610,3,8,"SFIX",3119635,-25,-17,TRUE,1,3,396,8,NA,NA
"43",534,1,43,1,25,1718432,1718640,360.1,716.1,8,208,78,1,2,9,9,58,6,"expensive",6,46,0,0,2813,0,1,43,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,52,13,1184.7,484.9,507.8,52,0,6,0,1718248,25,618,1718386,1718390,1718394,4,8,"SFIX",1718432,-38,-30,TRUE,1,1,261,6,NA,NA
"44",273,1,44,2,13,1461751,1461899,267.4,711.5,9,148,68,1,2,9,9,59,4,"annoyed",4,43,0,0,2321,0,1,44,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,47,NA,1044.1,195.6,511.4,55,8,4,1,1461682,13,618,1461714,1461718,1461719,1,5,"SFIX",1461751,-32,-24,TRUE,1,2,154,7,195.6,3
"45",1745,1,45,3,77,3163714,3163896,411.7,720.5,11,182,76,1,2,13,13,75,9,"burglar",1,NA,0,0,4085,0,2,54,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,NA,8,1471.3,392.8,500.4,66,NA,9,1,3163637,77,618,3162945,3162953,3162959,6,14,"SFIX",3163020,-61,-53,FALSE,0,3,315,6,392.8,5
"46",1118,1,46,1,50,2405817,2405960,500.4,700.3,10,143,120,1,2,11,11,65,8,"fearless",8,49,0,0,5025,0,1,51,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,57,4,1371.2,422.7,500,57,0,8,1,2405696,50,618,2405141,2405146,2405149,3,8,"SFIX",2405219,-70,-62,FALSE,0,1,361,8,422.7,4
"47",7,1,47,2,1,1273972,1274113,344.4,713.6,7,141,73,1,2,15,15,64,2,"perfect",2,58,0,0,2217,0,1,49,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,60,NA,1393,313.8,487.8,62,2,2,1,1273898,1,618,1273933,1273937,1273938,1,5,"SFIX",1273972,-34,-26,TRUE,1,2,266,5,313.8,3
"48",2029,1,48,3,90,3402061,3402303,480.1,713.7,8,242,51,1,2,9,9,52,5,"fantastic",5,37,0,0,2010,0,1,47,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,42,17,1153.3,701.2,513,47,5,5,0,3402009,90,618,3402034,3402038,3402039,1,5,"SFIX",3402061,-22,-14,TRUE,1,3,454,2,NA,NA
"49",183,1,49,1,9,1392131,1392329,356.7,707.3,10,198,56,1,2,9,9,45,4,"generate",4,32,0,0,2922,0,1,56,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,36,14,934.1,537.2,479.8,41,5,4,0,1392074,9,618,1392096,1392099,1392106,7,10,"SFIX",1392131,-25,-17,TRUE,1,1,295,4,NA,NA
"50",809,1,50,2,37,2106233,2106353,309.6,672.9,10,120,63,1,2,13,13,66,5,"fearless",5,53,0,0,2442,0,1,50,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,58,NA,1253.8,197.3,513,61,3,5,1,2106169,37,618,2106209,2106213,2106215,2,6,"SFIX",2106233,-18,-10,TRUE,1,2,173,8,197.3,2
"51",518,1,51,3,24,1699904,1700165,537.2,682.6,8,261,67,1,2,10,10,63,8,"stunning",8,45,0,0,2476,0,1,50,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,53,18,1348.8,707.5,496.9,55,2,8,0,1699836,24,618,1699864,1699868,1699872,4,8,"SFIX",1699904,-32,-24,TRUE,1,3,454,5,NA,NA
"52",1945,1,52,1,86,3340399,3340574,466.4,710.6,8,175,70,1,2,12,12,67,6,"powerful",6,52,0,0,2119,0,1,58,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,58,8,1400.2,493.3,489.5,61,3,6,0,3340328,86,618,3340361,3340364,3340365,1,4,"SFIX",3340399,-34,-26,TRUE,1,1,366,6,NA,NA
"53",1281,1,53,2,57,2562016,2562145,347.7,664.4,7,129,66,1,2,11,11,52,5,"sinister",5,40,0,0,1695,0,1,45,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,45,2,1060.5,289.9,527.4,47,2,5,1,2561949,57,618,2561980,2561984,2561985,1,5,"SFIX",2562016,-31,-23,TRUE,1,2,212,8,289.9,5
"54",1457,1,54,3,65,2887598,2887808,296.4,727.8,7,210,69,1,2,11,11,60,4,"poisonous",4,50,0,0,1941,0,1,52,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,54,8,1185,360.2,484.1,56,2,4,0,2887528,65,618,2887568,2887572,2887574,2,6,"SFIX",2887598,-24,-16,TRUE,1,3,284,1,NA,NA
"55",100,1,55,1,5,1327100,1327470,292.7,712.3,14,370,73,1,2,9,9,56,5,"intriguing",5,44,0,0,4307,0,1,45,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,49,14,1096.8,455.5,510.5,51,2,5,0,1326948,5,618,1327053,1327056,1327058,2,5,"SFIX",1327100,-42,-34,TRUE,1,1,216,5,NA,NA
"56",1264,1,56,2,56,2551262,2551379,393.5,668.4,11,117,55,1,2,11,11,62,9,"pastries",0,43,0,0,3044,0,2,41,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,52,4,1158.9,290.6,506.7,53,1,9,1,2551206,56,618,2551234,2551238,2551244,6,10,"SFIX",2551262,-18,-10,TRUE,1,2,180,12,290.6,7
"57",953,1,57,3,43,2243469,2243777,512.4,642.6,9,308,76,1,2,11,11,60,9,"alcohol",1,42,0,0,2461,0,2,38,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,51,12,1272.3,564.1,472,51,0,9,0,2243392,43,618,2243440,2243443,2243445,2,5,"SFIX",2243469,-24,-16,TRUE,1,3,419,6,NA,NA
"58",1351,1,58,1,60,2637016,2637381,313,678.1,7,365,64,1,2,9,9,50,3,"internet",3,39,0,0,1739,0,1,32,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,42,12,1010.7,461.5,524.1,47,5,3,0,2636904,60,618,2636982,2636986,2636987,1,5,"SFIX",2637016,-29,-21,TRUE,1,1,263,3,NA,NA
"59",830,1,59,2,38,2124887,2124995,312.5,693.3,8,108,74,1,2,12,12,55,6,"extremely",6,42,0,0,1719,0,1,39,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,48,1,1065.9,223.5,514.9,49,1,6,1,2124812,38,618,2124837,2124840,2124846,6,9,"SFIX",2124887,-41,-33,TRUE,1,2,158,9,223.5,4
"60",638,1,60,3,30,1786256,1786441,483.6,710,11,185,96,1,2,11,11,65,7,"tremendous",7,47,0,0,3304,0,1,46,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,54,9,1330.2,524.9,486.9,58,4,7,0,1786159,30,618,1786215,1786218,1786219,1,4,"SFIX",1786256,-37,-29,TRUE,1,3,422,4,NA,NA
"61",1903,1,61,1,84,3316273,3316400,533.3,680.9,9,127,69,1,2,15,15,65,11,"rolling",0,NA,0,0,3154,0,3,35,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,NA,7,1320.5,457.3,512.5,54,NA,11,1,3316203,84,618,3316235,3316237,3316239,2,4,"SFIX",3316273,-34,-26,TRUE,1,1,336,11,457.3,7
"62",883,1,62,2,40,2150359,2150474,474.9,735.6,11,115,62,1,2,14,14,73,6,"though",6,56,0,0,3080,0,1,37,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,62,NA,1475.5,355.1,529.9,67,5,6,1,2150296,40,618,2150331,2150336,2150341,5,10,"SFIX",2150359,-18,-10,TRUE,1,2,314,9,355.1,3
"63",1366,1,63,3,61,2832517,2832745,440.6,680.7,8,228,70,1,2,11,11,59,5,"preparation",2,NA,0,0,2065,0,2,35,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,NA,11,1325.1,537.3,457.6,54,NA,5,0,2832446,61,618,2832482,2832486,2832493,7,11,"SFIX",2832517,-24,-16,TRUE,1,3,406,2,NA,NA
"64",1836,1,64,1,81,3275351,3275477,529.9,716.4,11,126,77,1,2,14,14,74,8,"protect",4,51,0,0,2986,0,2,51,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,59,2,1448.9,433.6,527,66,7,8,1,3275273,81,618,3275312,3275316,3275317,1,5,"SFIX",3275351,-34,-26,TRUE,1,1,399,8,433.6,2
"65",1648,1,65,2,73,3031566,3031682,372.4,698.6,7,116,64,1,2,12,12,60,6,"good",3,46,0,0,1859,0,2,44,0,NA,1,"undersweep","C:/Data/corr_sacc/asc/JITT1.asc",0,0,52,NA,1204.5,272.4,504.6,54,2,6,1,3031501,73,618,3031534,3031537,3031539,2,5,"SFIX",3031566,-27,-19,TRUE,1,2,227,9,272.4,3
"66",708,1,66,3,33,2029834,2030012,400.9,738.6,8,178,70,1,2,16,16,70,4,"that",4,53,0,0,2264,0,1,54,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,57,7,1363.9,467.8,514.3,66,9,4,0,2029763,33,618,2029791,2029794,2029795,1,4,"SFIX",2029834,-39,-31,TRUE,1,3,397,1,NA,NA
"67",360,1,67,1,17,1569514,1569739,311.2,713.2,9,225,66,1,2,12,12,59,5,"her",1,48,0,0,2459,0,2,45,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,0,53,12,1172.8,433.2,518.2,54,1,5,0,1569375,17,618,1569470,1569474,1569478,4,8,"SFIX",1569514,-36,-28,TRUE,1,1,233,5,NA,NA
"68",476,1,68,2,22,1667672,1668137,300.8,670.9,13,465,24,1,2,14,14,70,3,"year",3,5,0,0,4535,0,1,59,0,NA,1,"accurate","C:/Data/corr_sacc/asc/JITT1.asc",0,1,62,8,1357.3,379.3,470.9,67,51,3,NA,1667375,22,618,1667405,1667409,1667410,1,5,"SFIX",1667573,-163,-155,TRUE,1,2,198,6,NA,NA
