"","sub","item","cond","seq","dependnum","start","end","duration_ms","correctresp","subresp","accuracy","filename"
"47",1,20,2,47,1,2998289,3000781,2492,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"48",1,21,3,48,1,3008934,3011095,2161,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"49",1,1,1,49,1,3050807,3054865,4058,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"50",1,42,3,50,1,3123116,3125344,2228,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"51",1,9,3,51,1,3139961,3142767,2806,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"52",1,45,3,52,1,3165997,3168196,2199,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"53",1,28,1,53,1,3239580,3242907,3327,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"54",1,4,1,54,1,3259190,3261762,2572,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"55",1,15,3,55,1,3299997,3302560,2563,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"56",1,10,1,56,1,3327155,3330084,2929,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"57",1,52,1,57,1,3342680,3347673,4993,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"58",1,13,1,58,1,3361863,3364218,2355,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"59",1,36,3,59,1,3371244,3374370,3126,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"60",1,48,3,60,1,3403903,3406291,2388,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"61",2,3,1,1,1,4705083,4708056,2973,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"62",2,19,2,2,1,4751303,4753677,2374,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"63",2,22,2,3,1,4776917,4779824,2907,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"64",2,27,1,4,1,4819844,4821503,1659,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"65",2,2,3,5,1,4952107,4954128,2021,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"66",2,5,3,6,1,4960564,4963107,2543,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"67",2,53,3,7,1,5044554,5046154,1600,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"68",2,47,3,8,1,5072149,5074829,2680,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"69",2,57,1,9,1,5081930,5084107,2177,1,0,0,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"70",2,9,1,10,1,5092545,5094125,1580,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"71",2,31,2,11,1,5103369,5105021,1652,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"72",2,18,1,12,1,5125700,5127516,1816,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"73",2,26,3,13,1,5173862,5175706,1844,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"74",2,10,2,14,1,5204536,5207211,2675,1,0,0,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"75",2,50,3,15,1,5229432,5233094,3662,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"76",2,11,3,16,1,5250118,5252844,2726,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"77",2,15,1,17,1,5271259,5273767,2508,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"78",2,44,3,18,1,5288131,5290795,2664,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"79",2,51,1,19,1,5321954,5324556,2602,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"80",2,32,3,20,1,5544342,5545719,1377,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"81",2,25,2,21,1,5574636,5576471,1835,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"82",2,12,1,22,1,5613531,5615202,1671,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"83",2,42,1,23,1,5669114,5671246,2132,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"84",2,41,3,24,1,5710951,5712322,1371,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"85",2,6,1,25,1,5747491,5751864,4373,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"86",2,24,1,26,1,5764718,5767284,2566,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
